weather tornado 1800, cosine similarity=0.00
weather tornado 1990, cosine similarity=0.15

weather sleet 1800, cosine similarity=0.00
weather sleet 1990, cosine similarity=0.18

weather cereal 1800, cosine similarity=0.00
weather cereal 1990, cosine similarity=-0.04

shape circle 1800, cosine similarity=0.14
shape circle 1990, cosine similarity=0.12

shape oval 1800, cosine similarity=0.60
shape oval 1990, cosine similarity=0.31

shape capes 1800, cosine similarity=0.00
shape capes 1990, cosine similarity=-0.01

meat pork 1800, cosine similarity=0.63
meat pork 1990, cosine similarity=0.57

meat veal 1800, cosine similarity=0.00
meat veal 1990, cosine similarity=0.44

meat pulp 1800, cosine similarity=0.00
meat pulp 1990, cosine similarity=0.23

meat beef 1800, cosine similarity=0.65
meat beef 1990, cosine similarity=0.63

meat duck 1800, cosine similarity=0.00
meat duck 1990, cosine similarity=0.19

meat ring 1800, cosine similarity=0.12
meat ring 1990, cosine similarity=0.04

instrument drum 1800, cosine similarity=0.19
instrument drum 1990, cosine similarity=0.18

instrument banjo 1800, cosine similarity=0.00
instrument banjo 1990, cosine similarity=0.09

instrument bolt 1800, cosine similarity=0.18
instrument bolt 1990, cosine similarity=0.07

storm thunder 1800, cosine similarity=0.50
storm thunder 1990, cosine similarity=0.38

storm blizzard 1800, cosine similarity=0.00
storm blizzard 1990, cosine similarity=0.24

storm cannons 1800, cosine similarity=0.00
storm cannons 1990, cosine similarity=0.19

crime robbery 1800, cosine similarity=0.57
crime robbery 1990, cosine similarity=0.42

crime arson 1800, cosine similarity=0.00
crime arson 1990, cosine similarity=0.24

crime signal 1800, cosine similarity=0.09
crime signal 1990, cosine similarity=-0.12

clothing pants 1800, cosine similarity=0.00
clothing pants 1990, cosine similarity=0.16

clothing gloves 1800, cosine similarity=0.40
clothing gloves 1990, cosine similarity=0.40

clothing masks 1800, cosine similarity=0.00
clothing masks 1990, cosine similarity=0.23

flower rose 1800, cosine similarity=0.30
flower rose 1990, cosine similarity=0.28

flower lilac 1800, cosine similarity=0.00
flower lilac 1990, cosine similarity=0.33

flower slot 1800, cosine similarity=0.00
flower slot 1990, cosine similarity=0.17

weapon gun 1800, cosine similarity=0.25
weapon gun 1990, cosine similarity=0.44

weapon club 1800, cosine similarity=0.17
weapon club 1990, cosine similarity=0.12

weapon babe 1800, cosine similarity=0.00
weapon babe 1990, cosine similarity=0.05

crime murder 1800, cosine similarity=0.53
crime murder 1990, cosine similarity=0.45

crime speeding 1800, cosine similarity=0.00
crime speeding 1990, cosine similarity=0.09

crime dragons 1800, cosine similarity=0.00
crime dragons 1990, cosine similarity=0.04

in house 1800, cosine similarity=0.07
in house 1990, cosine similarity=0.03

in cabin 1800, cosine similarity=0.07
in cabin 1990, cosine similarity=0.04

in jelly 1800, cosine similarity=0.00
in jelly 1990, cosine similarity=0.06

product milk 1800, cosine similarity=0.34
product milk 1990, cosine similarity=0.18

product cream 1800, cosine similarity=0.28
product cream 1990, cosine similarity=0.02

product gold 1800, cosine similarity=0.11
product gold 1990, cosine similarity=0.02

feeling sad 1800, cosine similarity=0.20
feeling sad 1990, cosine similarity=0.27

feeling envy 1800, cosine similarity=0.26
feeling envy 1990, cosine similarity=0.30

feeling well 1800, cosine similarity=0.15
feeling well 1990, cosine similarity=0.18

meat chicken 1800, cosine similarity=0.00
meat chicken 1990, cosine similarity=0.47

meat ham 1800, cosine similarity=0.30
meat ham 1990, cosine similarity=0.28

meat shrub 1800, cosine similarity=0.35
meat shrub 1990, cosine similarity=0.19

color blue 1800, cosine similarity=0.61
color blue 1990, cosine similarity=0.33

color tan 1800, cosine similarity=0.00
color tan 1990, cosine similarity=0.20

color zone 1800, cosine similarity=0.27
color zone 1990, cosine similarity=0.09

read book 1800, cosine similarity=0.37
read book 1990, cosine similarity=0.32

read article 1800, cosine similarity=0.08
read article 1990, cosine similarity=0.15

read warts 1800, cosine similarity=0.00
read warts 1990, cosine similarity=-0.05

seasoning salt 1800, cosine similarity=0.00
seasoning salt 1990, cosine similarity=0.36

seasoning herbs 1800, cosine similarity=0.00
seasoning herbs 1990, cosine similarity=0.27

seasoning risk 1800, cosine similarity=0.00
seasoning risk 1990, cosine similarity=-0.06

furniture table 1800, cosine similarity=0.28
