weather tornado 1860, cosine similarity=0.00
weather tornado 1990, cosine similarity=0.15

weather sleet 1860, cosine similarity=0.26
weather sleet 1990, cosine similarity=0.18

weather cereal 1860, cosine similarity=0.00
weather cereal 1990, cosine similarity=-0.04

shape circle 1860, cosine similarity=0.13
shape circle 1990, cosine similarity=0.12

shape oval 1860, cosine similarity=0.43
shape oval 1990, cosine similarity=0.31

shape capes 1860, cosine similarity=0.02
shape capes 1990, cosine similarity=-0.01

meat pork 1860, cosine similarity=0.49
meat pork 1990, cosine similarity=0.57

meat veal 1860, cosine similarity=0.41
meat veal 1990, cosine similarity=0.44

meat pulp 1860, cosine similarity=0.19
meat pulp 1990, cosine similarity=0.23

meat beef 1860, cosine similarity=0.58
meat beef 1990, cosine similarity=0.63

meat duck 1860, cosine similarity=0.14
meat duck 1990, cosine similarity=0.19

meat ring 1860, cosine similarity=-0.02
meat ring 1990, cosine similarity=0.04

instrument drum 1860, cosine similarity=0.15
instrument drum 1990, cosine similarity=0.18

instrument banjo 1860, cosine similarity=0.00
instrument banjo 1990, cosine similarity=0.09

instrument bolt 1860, cosine similarity=0.13
instrument bolt 1990, cosine similarity=0.07

storm thunder 1860, cosine similarity=0.42
storm thunder 1990, cosine similarity=0.38

storm blizzard 1860, cosine similarity=0.00
storm blizzard 1990, cosine similarity=0.24

storm cannons 1860, cosine similarity=0.00
storm cannons 1990, cosine similarity=0.19

crime robbery 1860, cosine similarity=0.42
crime robbery 1990, cosine similarity=0.42

crime arson 1860, cosine similarity=0.38
crime arson 1990, cosine similarity=0.24

crime signal 1860, cosine similarity=0.04
crime signal 1990, cosine similarity=-0.12

clothing pants 1860, cosine similarity=0.06
clothing pants 1990, cosine similarity=0.16

clothing gloves 1860, cosine similarity=0.27
clothing gloves 1990, cosine similarity=0.40

clothing masks 1860, cosine similarity=0.22
clothing masks 1990, cosine similarity=0.23

flower rose 1860, cosine similarity=0.20
flower rose 1990, cosine similarity=0.28

flower lilac 1860, cosine similarity=0.00
flower lilac 1990, cosine similarity=0.33

flower slot 1860, cosine similarity=0.00
flower slot 1990, cosine similarity=0.17

weapon gun 1860, cosine similarity=0.24
weapon gun 1990, cosine similarity=0.44

weapon club 1860, cosine similarity=0.22
weapon club 1990, cosine similarity=0.12

weapon babe 1860, cosine similarity=0.05
weapon babe 1990, cosine similarity=0.05

crime murder 1860, cosine similarity=0.44
crime murder 1990, cosine similarity=0.45

crime speeding 1860, cosine similarity=0.00
crime speeding 1990, cosine similarity=0.09

crime dragons 1860, cosine similarity=-0.06
crime dragons 1990, cosine similarity=0.04

in house 1860, cosine similarity=-0.01
in house 1990, cosine similarity=0.03

in cabin 1860, cosine similarity=-0.02
in cabin 1990, cosine similarity=0.04

in jelly 1860, cosine similarity=0.05
in jelly 1990, cosine similarity=0.06

product milk 1860, cosine similarity=0.14
product milk 1990, cosine similarity=0.18

product cream 1860, cosine similarity=0.10
product cream 1990, cosine similarity=0.02

product gold 1860, cosine similarity=0.10
product gold 1990, cosine similarity=0.02

feeling sad 1860, cosine similarity=0.13
feeling sad 1990, cosine similarity=0.27

feeling envy 1860, cosine similarity=0.22
feeling envy 1990, cosine similarity=0.30

feeling well 1860, cosine similarity=0.13
feeling well 1990, cosine similarity=0.18

meat chicken 1860, cosine similarity=0.27
meat chicken 1990, cosine similarity=0.47

meat ham 1860, cosine similarity=0.31
meat ham 1990, cosine similarity=0.28

meat shrub 1860, cosine similarity=0.20
meat shrub 1990, cosine similarity=0.19

color blue 1860, cosine similarity=0.39
color blue 1990, cosine similarity=0.33

color tan 1860, cosine similarity=0.17
color tan 1990, cosine similarity=0.20

color zone 1860, cosine similarity=0.01
color zone 1990, cosine similarity=0.09

read book 1860, cosine similarity=0.35
read book 1990, cosine similarity=0.32

read article 1860, cosine similarity=0.17
read article 1990, cosine similarity=0.15

read warts 1860, cosine similarity=0.00
read warts 1990, cosine similarity=-0.05

seasoning salt 1860, cosine similarity=0.00
seasoning salt 1990, cosine similarity=0.36

seasoning herbs 1860, cosine similarity=0.00
seasoning herbs 1990, cosine similarity=0.27

seasoning risk 1860, cosine similarity=0.00
seasoning risk 1990, cosine similarity=-0.06

furniture table 1860, cosine similarity=0.21
