weather tornado 1880, cosine similarity=0.14
weather tornado 1990, cosine similarity=0.15

weather sleet 1880, cosine similarity=0.27
weather sleet 1990, cosine similarity=0.18

weather cereal 1880, cosine similarity=0.00
weather cereal 1990, cosine similarity=-0.04

shape circle 1880, cosine similarity=0.11
shape circle 1990, cosine similarity=0.12

shape oval 1880, cosine similarity=0.46
shape oval 1990, cosine similarity=0.31

shape capes 1880, cosine similarity=-0.04
shape capes 1990, cosine similarity=-0.01

meat pork 1880, cosine similarity=0.53
meat pork 1990, cosine similarity=0.57

meat veal 1880, cosine similarity=0.32
meat veal 1990, cosine similarity=0.44

meat pulp 1880, cosine similarity=0.25
meat pulp 1990, cosine similarity=0.23

meat beef 1880, cosine similarity=0.56
meat beef 1990, cosine similarity=0.63

meat duck 1880, cosine similarity=0.20
meat duck 1990, cosine similarity=0.19

meat ring 1880, cosine similarity=-0.01
meat ring 1990, cosine similarity=0.04

instrument drum 1880, cosine similarity=0.13
instrument drum 1990, cosine similarity=0.18

instrument banjo 1880, cosine similarity=0.00
instrument banjo 1990, cosine similarity=0.09

instrument bolt 1880, cosine similarity=0.09
instrument bolt 1990, cosine similarity=0.07

storm thunder 1880, cosine similarity=0.42
storm thunder 1990, cosine similarity=0.38

storm blizzard 1880, cosine similarity=0.00
storm blizzard 1990, cosine similarity=0.24

storm cannons 1880, cosine similarity=0.22
storm cannons 1990, cosine similarity=0.19

crime robbery 1880, cosine similarity=0.42
crime robbery 1990, cosine similarity=0.42

crime arson 1880, cosine similarity=0.37
crime arson 1990, cosine similarity=0.24

crime signal 1880, cosine similarity=0.06
crime signal 1990, cosine similarity=-0.12

clothing pants 1880, cosine similarity=0.15
clothing pants 1990, cosine similarity=0.16

clothing gloves 1880, cosine similarity=0.30
clothing gloves 1990, cosine similarity=0.40

clothing masks 1880, cosine similarity=0.08
clothing masks 1990, cosine similarity=0.23

flower rose 1880, cosine similarity=0.23
flower rose 1990, cosine similarity=0.28

flower lilac 1880, cosine similarity=0.46
flower lilac 1990, cosine similarity=0.33

flower slot 1880, cosine similarity=0.11
flower slot 1990, cosine similarity=0.17

weapon gun 1880, cosine similarity=0.33
weapon gun 1990, cosine similarity=0.44

weapon club 1880, cosine similarity=0.20
weapon club 1990, cosine similarity=0.12

weapon babe 1880, cosine similarity=0.14
weapon babe 1990, cosine similarity=0.05

crime murder 1880, cosine similarity=0.53
crime murder 1990, cosine similarity=0.45

crime speeding 1880, cosine similarity=-0.10
crime speeding 1990, cosine similarity=0.09

crime dragons 1880, cosine similarity=-0.08
crime dragons 1990, cosine similarity=0.04

in house 1880, cosine similarity=0.04
in house 1990, cosine similarity=0.03

in cabin 1880, cosine similarity=0.03
in cabin 1990, cosine similarity=0.04

in jelly 1880, cosine similarity=-0.04
in jelly 1990, cosine similarity=0.06

product milk 1880, cosine similarity=0.19
product milk 1990, cosine similarity=0.18

product cream 1880, cosine similarity=0.07
product cream 1990, cosine similarity=0.02

product gold 1880, cosine similarity=0.11
product gold 1990, cosine similarity=0.02

feeling sad 1880, cosine similarity=0.16
feeling sad 1990, cosine similarity=0.27

feeling envy 1880, cosine similarity=0.24
feeling envy 1990, cosine similarity=0.30

feeling well 1880, cosine similarity=0.04
feeling well 1990, cosine similarity=0.18

meat chicken 1880, cosine similarity=0.33
meat chicken 1990, cosine similarity=0.47

meat ham 1880, cosine similarity=0.40
meat ham 1990, cosine similarity=0.28

meat shrub 1880, cosine similarity=0.08
meat shrub 1990, cosine similarity=0.19

color blue 1880, cosine similarity=0.42
color blue 1990, cosine similarity=0.33

color tan 1880, cosine similarity=0.16
color tan 1990, cosine similarity=0.20

color zone 1880, cosine similarity=0.13
color zone 1990, cosine similarity=0.09

read book 1880, cosine similarity=0.34
read book 1990, cosine similarity=0.32

read article 1880, cosine similarity=0.16
read article 1990, cosine similarity=0.15

read warts 1880, cosine similarity=0.00
read warts 1990, cosine similarity=-0.05

seasoning salt 1880, cosine similarity=0.39
seasoning salt 1990, cosine similarity=0.36

seasoning herbs 1880, cosine similarity=0.35
seasoning herbs 1990, cosine similarity=0.27

seasoning risk 1880, cosine similarity=-0.02
seasoning risk 1990, cosine similarity=-0.06

