weather tornado 1850, cosine similarity=0.22
weather tornado 1990, cosine similarity=0.15

weather sleet 1850, cosine similarity=0.28
weather sleet 1990, cosine similarity=0.18

weather cereal 1850, cosine similarity=0.00
weather cereal 1990, cosine similarity=-0.04

shape circle 1850, cosine similarity=0.04
shape circle 1990, cosine similarity=0.12

shape oval 1850, cosine similarity=0.43
shape oval 1990, cosine similarity=0.31

shape capes 1850, cosine similarity=0.04
shape capes 1990, cosine similarity=-0.01

meat pork 1850, cosine similarity=0.52
meat pork 1990, cosine similarity=0.57

meat veal 1850, cosine similarity=0.42
meat veal 1990, cosine similarity=0.44

meat pulp 1850, cosine similarity=0.18
meat pulp 1990, cosine similarity=0.23

meat beef 1850, cosine similarity=0.54
meat beef 1990, cosine similarity=0.63

meat duck 1850, cosine similarity=0.15
meat duck 1990, cosine similarity=0.19

meat ring 1850, cosine similarity=0.02
meat ring 1990, cosine similarity=0.04

instrument drum 1850, cosine similarity=0.14
instrument drum 1990, cosine similarity=0.18

instrument banjo 1850, cosine similarity=0.00
instrument banjo 1990, cosine similarity=0.09

instrument bolt 1850, cosine similarity=0.10
instrument bolt 1990, cosine similarity=0.07

storm thunder 1850, cosine similarity=0.45
storm thunder 1990, cosine similarity=0.38

storm blizzard 1850, cosine similarity=0.00
storm blizzard 1990, cosine similarity=0.24

storm cannons 1850, cosine similarity=0.27
storm cannons 1990, cosine similarity=0.19

crime robbery 1850, cosine similarity=0.39
crime robbery 1990, cosine similarity=0.42

crime arson 1850, cosine similarity=0.48
crime arson 1990, cosine similarity=0.24

crime signal 1850, cosine similarity=0.07
crime signal 1990, cosine similarity=-0.12

clothing pants 1850, cosine similarity=0.19
clothing pants 1990, cosine similarity=0.16

clothing gloves 1850, cosine similarity=0.26
clothing gloves 1990, cosine similarity=0.40

clothing masks 1850, cosine similarity=0.15
clothing masks 1990, cosine similarity=0.23

flower rose 1850, cosine similarity=0.16
flower rose 1990, cosine similarity=0.28

flower lilac 1850, cosine similarity=0.00
flower lilac 1990, cosine similarity=0.33

flower slot 1850, cosine similarity=0.00
flower slot 1990, cosine similarity=0.17

weapon gun 1850, cosine similarity=0.29
weapon gun 1990, cosine similarity=0.44

weapon club 1850, cosine similarity=0.22
weapon club 1990, cosine similarity=0.12

weapon babe 1850, cosine similarity=0.07
weapon babe 1990, cosine similarity=0.05

crime murder 1850, cosine similarity=0.48
crime murder 1990, cosine similarity=0.45

crime speeding 1850, cosine similarity=0.00
crime speeding 1990, cosine similarity=0.09

crime dragons 1850, cosine similarity=-0.01
crime dragons 1990, cosine similarity=0.04

in house 1850, cosine similarity=0.14
in house 1990, cosine similarity=0.03

in cabin 1850, cosine similarity=0.08
in cabin 1990, cosine similarity=0.04

in jelly 1850, cosine similarity=0.07
in jelly 1990, cosine similarity=0.06

product milk 1850, cosine similarity=0.18
product milk 1990, cosine similarity=0.18

product cream 1850, cosine similarity=0.07
product cream 1990, cosine similarity=0.02

product gold 1850, cosine similarity=0.06
product gold 1990, cosine similarity=0.02

feeling sad 1850, cosine similarity=0.11
feeling sad 1990, cosine similarity=0.27

feeling envy 1850, cosine similarity=0.24
feeling envy 1990, cosine similarity=0.30

feeling well 1850, cosine similarity=0.01
feeling well 1990, cosine similarity=0.18

meat chicken 1850, cosine similarity=0.28
meat chicken 1990, cosine similarity=0.47

meat ham 1850, cosine similarity=0.29
meat ham 1990, cosine similarity=0.28

meat shrub 1850, cosine similarity=0.17
meat shrub 1990, cosine similarity=0.19

color blue 1850, cosine similarity=0.43
color blue 1990, cosine similarity=0.33

color tan 1850, cosine similarity=0.18
color tan 1990, cosine similarity=0.20

color zone 1850, cosine similarity=0.09
color zone 1990, cosine similarity=0.09

read book 1850, cosine similarity=0.37
read book 1990, cosine similarity=0.32

read article 1850, cosine similarity=0.18
read article 1990, cosine similarity=0.15

read warts 1850, cosine similarity=0.00
read warts 1990, cosine similarity=-0.05

seasoning salt 1850, cosine similarity=0.00
seasoning salt 1990, cosine similarity=0.36

seasoning herbs 1850, cosine similarity=0.00
seasoning herbs 1990, cosine similarity=0.27

seasoning risk 1850, cosine similarity=0.00
seasoning risk 1990, cosine similarity=-0.06

furniture table 1850, cosine similarity=0.21
