weather tornado 1840, cosine similarity=0.00
weather tornado 1990, cosine similarity=0.15

weather sleet 1840, cosine similarity=0.34
weather sleet 1990, cosine similarity=0.18

weather cereal 1840, cosine similarity=0.00
weather cereal 1990, cosine similarity=-0.04

shape circle 1840, cosine similarity=0.04
shape circle 1990, cosine similarity=0.12

shape oval 1840, cosine similarity=0.46
shape oval 1990, cosine similarity=0.31

shape capes 1840, cosine similarity=-0.06
shape capes 1990, cosine similarity=-0.01

meat pork 1840, cosine similarity=0.39
meat pork 1990, cosine similarity=0.57

meat veal 1840, cosine similarity=0.41
meat veal 1990, cosine similarity=0.44

meat pulp 1840, cosine similarity=0.14
meat pulp 1990, cosine similarity=0.23

meat beef 1840, cosine similarity=0.41
meat beef 1990, cosine similarity=0.63

meat duck 1840, cosine similarity=0.13
meat duck 1990, cosine similarity=0.19

meat ring 1840, cosine similarity=0.01
meat ring 1990, cosine similarity=0.04

instrument drum 1840, cosine similarity=0.11
instrument drum 1990, cosine similarity=0.18

instrument banjo 1840, cosine similarity=0.00
instrument banjo 1990, cosine similarity=0.09

instrument bolt 1840, cosine similarity=0.10
instrument bolt 1990, cosine similarity=0.07

storm thunder 1840, cosine similarity=0.48
storm thunder 1990, cosine similarity=0.38

storm blizzard 1840, cosine similarity=0.00
storm blizzard 1990, cosine similarity=0.24

storm cannons 1840, cosine similarity=0.00
storm cannons 1990, cosine similarity=0.19

crime robbery 1840, cosine similarity=0.43
crime robbery 1990, cosine similarity=0.42

crime arson 1840, cosine similarity=0.00
crime arson 1990, cosine similarity=0.24

crime signal 1840, cosine similarity=0.04
crime signal 1990, cosine similarity=-0.12

clothing pants 1840, cosine similarity=0.00
clothing pants 1990, cosine similarity=0.16

clothing gloves 1840, cosine similarity=0.20
clothing gloves 1990, cosine similarity=0.40

clothing masks 1840, cosine similarity=0.15
clothing masks 1990, cosine similarity=0.23

flower rose 1840, cosine similarity=0.22
flower rose 1990, cosine similarity=0.28

flower lilac 1840, cosine similarity=0.00
flower lilac 1990, cosine similarity=0.33

flower slot 1840, cosine similarity=0.00
flower slot 1990, cosine similarity=0.17

weapon gun 1840, cosine similarity=0.29
weapon gun 1990, cosine similarity=0.44

weapon club 1840, cosine similarity=0.22
weapon club 1990, cosine similarity=0.12

weapon babe 1840, cosine similarity=0.07
weapon babe 1990, cosine similarity=0.05

crime murder 1840, cosine similarity=0.49
crime murder 1990, cosine similarity=0.45

crime speeding 1840, cosine similarity=0.00
crime speeding 1990, cosine similarity=0.09

crime dragons 1840, cosine similarity=-0.00
crime dragons 1990, cosine similarity=0.04

in house 1840, cosine similarity=-0.01
in house 1990, cosine similarity=0.03

in cabin 1840, cosine similarity=0.05
in cabin 1990, cosine similarity=0.04

in jelly 1840, cosine similarity=0.10
in jelly 1990, cosine similarity=0.06

product milk 1840, cosine similarity=0.15
product milk 1990, cosine similarity=0.18

product cream 1840, cosine similarity=0.07
product cream 1990, cosine similarity=0.02

product gold 1840, cosine similarity=0.03
product gold 1990, cosine similarity=0.02

feeling sad 1840, cosine similarity=0.21
feeling sad 1990, cosine similarity=0.27

feeling envy 1840, cosine similarity=0.23
feeling envy 1990, cosine similarity=0.30

feeling well 1840, cosine similarity=0.08
feeling well 1990, cosine similarity=0.18

meat chicken 1840, cosine similarity=0.33
meat chicken 1990, cosine similarity=0.47

meat ham 1840, cosine similarity=0.19
meat ham 1990, cosine similarity=0.28

meat shrub 1840, cosine similarity=0.15
meat shrub 1990, cosine similarity=0.19

color blue 1840, cosine similarity=0.37
color blue 1990, cosine similarity=0.33

color tan 1840, cosine similarity=0.23
color tan 1990, cosine similarity=0.20

color zone 1840, cosine similarity=0.08
color zone 1990, cosine similarity=0.09

read book 1840, cosine similarity=0.36
read book 1990, cosine similarity=0.32

read article 1840, cosine similarity=0.15
read article 1990, cosine similarity=0.15

read warts 1840, cosine similarity=0.00
read warts 1990, cosine similarity=-0.05

seasoning salt 1840, cosine similarity=0.00
seasoning salt 1990, cosine similarity=0.36

seasoning herbs 1840, cosine similarity=0.00
seasoning herbs 1990, cosine similarity=0.27

seasoning risk 1840, cosine similarity=0.00
seasoning risk 1990, cosine similarity=-0.06

furniture table 1840, cosine similarity=0.21
