weather tornado 1890, cosine similarity=0.07
weather tornado 1990, cosine similarity=0.15

weather sleet 1890, cosine similarity=0.25
weather sleet 1990, cosine similarity=0.18

weather cereal 1890, cosine similarity=0.00
weather cereal 1990, cosine similarity=-0.04

shape circle 1890, cosine similarity=0.15
shape circle 1990, cosine similarity=0.12

shape oval 1890, cosine similarity=0.44
shape oval 1990, cosine similarity=0.31

shape capes 1890, cosine similarity=-0.04
shape capes 1990, cosine similarity=-0.01

meat pork 1890, cosine similarity=0.53
meat pork 1990, cosine similarity=0.57

meat veal 1890, cosine similarity=0.35
meat veal 1990, cosine similarity=0.44

meat pulp 1890, cosine similarity=0.27
meat pulp 1990, cosine similarity=0.23

meat beef 1890, cosine similarity=0.60
meat beef 1990, cosine similarity=0.63

meat duck 1890, cosine similarity=0.19
meat duck 1990, cosine similarity=0.19

meat ring 1890, cosine similarity=0.02
meat ring 1990, cosine similarity=0.04

instrument drum 1890, cosine similarity=0.12
instrument drum 1990, cosine similarity=0.18

instrument banjo 1890, cosine similarity=0.00
instrument banjo 1990, cosine similarity=0.09

instrument bolt 1890, cosine similarity=0.07
instrument bolt 1990, cosine similarity=0.07

storm thunder 1890, cosine similarity=0.40
storm thunder 1990, cosine similarity=0.38

storm blizzard 1890, cosine similarity=0.00
storm blizzard 1990, cosine similarity=0.24

storm cannons 1890, cosine similarity=0.16
storm cannons 1990, cosine similarity=0.19

crime robbery 1890, cosine similarity=0.45
crime robbery 1990, cosine similarity=0.42

crime arson 1890, cosine similarity=0.43
crime arson 1990, cosine similarity=0.24

crime signal 1890, cosine similarity=0.03
crime signal 1990, cosine similarity=-0.12

clothing pants 1890, cosine similarity=0.14
clothing pants 1990, cosine similarity=0.16

clothing gloves 1890, cosine similarity=0.29
clothing gloves 1990, cosine similarity=0.40

clothing masks 1890, cosine similarity=0.14
clothing masks 1990, cosine similarity=0.23

flower rose 1890, cosine similarity=0.24
flower rose 1990, cosine similarity=0.28

flower lilac 1890, cosine similarity=0.37
flower lilac 1990, cosine similarity=0.33

flower slot 1890, cosine similarity=0.03
flower slot 1990, cosine similarity=0.17

weapon gun 1890, cosine similarity=0.32
weapon gun 1990, cosine similarity=0.44

weapon club 1890, cosine similarity=0.21
weapon club 1990, cosine similarity=0.12

weapon babe 1890, cosine similarity=0.05
weapon babe 1990, cosine similarity=0.05

crime murder 1890, cosine similarity=0.55
crime murder 1990, cosine similarity=0.45

crime speeding 1890, cosine similarity=-0.09
crime speeding 1990, cosine similarity=0.09

crime dragons 1890, cosine similarity=-0.01
crime dragons 1990, cosine similarity=0.04

in house 1890, cosine similarity=0.11
in house 1990, cosine similarity=0.03

in cabin 1890, cosine similarity=0.03
in cabin 1990, cosine similarity=0.04

in jelly 1890, cosine similarity=0.08
in jelly 1990, cosine similarity=0.06

product milk 1890, cosine similarity=0.24
product milk 1990, cosine similarity=0.18

product cream 1890, cosine similarity=0.07
product cream 1990, cosine similarity=0.02

product gold 1890, cosine similarity=0.11
product gold 1990, cosine similarity=0.02

feeling sad 1890, cosine similarity=0.09
feeling sad 1990, cosine similarity=0.27

feeling envy 1890, cosine similarity=0.24
feeling envy 1990, cosine similarity=0.30

feeling well 1890, cosine similarity=0.06
feeling well 1990, cosine similarity=0.18

meat chicken 1890, cosine similarity=0.36
meat chicken 1990, cosine similarity=0.47

meat ham 1890, cosine similarity=0.39
meat ham 1990, cosine similarity=0.28

meat shrub 1890, cosine similarity=0.11
meat shrub 1990, cosine similarity=0.19

color blue 1890, cosine similarity=0.43
color blue 1990, cosine similarity=0.33

color tan 1890, cosine similarity=0.21
color tan 1990, cosine similarity=0.20

color zone 1890, cosine similarity=0.11
color zone 1990, cosine similarity=0.09

read book 1890, cosine similarity=0.36
read book 1990, cosine similarity=0.32

read article 1890, cosine similarity=0.18
read article 1990, cosine similarity=0.15

read warts 1890, cosine similarity=-0.18
read warts 1990, cosine similarity=-0.05

seasoning salt 1890, cosine similarity=0.36
seasoning salt 1990, cosine similarity=0.36

seasoning herbs 1890, cosine similarity=0.26
seasoning herbs 1990, cosine similarity=0.27

seasoning risk 1890, cosine similarity=0.08
seasoning risk 1990, cosine similarity=-0.06

furniture table 1890, cosine similarity=0.17
