weather tornado 1940, cosine similarity=0.08
weather tornado 1990, cosine similarity=0.15

weather sleet 1940, cosine similarity=0.28
weather sleet 1990, cosine similarity=0.18

weather cereal 1940, cosine similarity=0.13
weather cereal 1990, cosine similarity=-0.04

shape circle 1940, cosine similarity=0.14
shape circle 1990, cosine similarity=0.12

shape oval 1940, cosine similarity=0.41
shape oval 1990, cosine similarity=0.31

shape capes 1940, cosine similarity=0.00
shape capes 1990, cosine similarity=-0.01

meat pork 1940, cosine similarity=0.57
meat pork 1990, cosine similarity=0.57

meat veal 1940, cosine similarity=0.40
meat veal 1990, cosine similarity=0.44

meat pulp 1940, cosine similarity=0.26
meat pulp 1990, cosine similarity=0.23

meat beef 1940, cosine similarity=0.61
meat beef 1990, cosine similarity=0.63

meat duck 1940, cosine similarity=0.20
meat duck 1990, cosine similarity=0.19

meat ring 1940, cosine similarity=-0.05
meat ring 1990, cosine similarity=0.04

instrument drum 1940, cosine similarity=0.18
instrument drum 1990, cosine similarity=0.18

instrument banjo 1940, cosine similarity=-0.01
instrument banjo 1990, cosine similarity=0.09

instrument bolt 1940, cosine similarity=0.10
instrument bolt 1990, cosine similarity=0.07

storm thunder 1940, cosine similarity=0.40
storm thunder 1990, cosine similarity=0.38

storm blizzard 1940, cosine similarity=0.22
storm blizzard 1990, cosine similarity=0.24

storm cannons 1940, cosine similarity=0.14
storm cannons 1990, cosine similarity=0.19

crime robbery 1940, cosine similarity=0.39
crime robbery 1990, cosine similarity=0.42

crime arson 1940, cosine similarity=0.37
crime arson 1990, cosine similarity=0.24

crime signal 1940, cosine similarity=-0.05
crime signal 1990, cosine similarity=-0.12

clothing pants 1940, cosine similarity=0.16
clothing pants 1990, cosine similarity=0.16

clothing gloves 1940, cosine similarity=0.32
clothing gloves 1990, cosine similarity=0.40

clothing masks 1940, cosine similarity=0.20
clothing masks 1990, cosine similarity=0.23

flower rose 1940, cosine similarity=0.33
flower rose 1990, cosine similarity=0.28

flower lilac 1940, cosine similarity=0.42
flower lilac 1990, cosine similarity=0.33

flower slot 1940, cosine similarity=0.06
flower slot 1990, cosine similarity=0.17

weapon gun 1940, cosine similarity=0.34
weapon gun 1990, cosine similarity=0.44

weapon club 1940, cosine similarity=0.13
weapon club 1990, cosine similarity=0.12

weapon babe 1940, cosine similarity=0.05
weapon babe 1990, cosine similarity=0.05

crime murder 1940, cosine similarity=0.42
crime murder 1990, cosine similarity=0.45

crime speeding 1940, cosine similarity=-0.11
crime speeding 1990, cosine similarity=0.09

crime dragons 1940, cosine similarity=-0.04
crime dragons 1990, cosine similarity=0.04

in house 1940, cosine similarity=0.11
in house 1990, cosine similarity=0.03

in cabin 1940, cosine similarity=-0.01
in cabin 1990, cosine similarity=0.04

in jelly 1940, cosine similarity=-0.06
in jelly 1990, cosine similarity=0.06

product milk 1940, cosine similarity=0.21
product milk 1990, cosine similarity=0.18

product cream 1940, cosine similarity=0.16
product cream 1990, cosine similarity=0.02

product gold 1940, cosine similarity=0.02
product gold 1990, cosine similarity=0.02

feeling sad 1940, cosine similarity=0.19
feeling sad 1990, cosine similarity=0.27

feeling envy 1940, cosine similarity=0.27
feeling envy 1990, cosine similarity=0.30

feeling well 1940, cosine similarity=0.16
feeling well 1990, cosine similarity=0.18

meat chicken 1940, cosine similarity=0.43
meat chicken 1990, cosine similarity=0.47

meat ham 1940, cosine similarity=0.39
meat ham 1990, cosine similarity=0.28

meat shrub 1940, cosine similarity=0.09
meat shrub 1990, cosine similarity=0.19

color blue 1940, cosine similarity=0.42
color blue 1990, cosine similarity=0.33

color tan 1940, cosine similarity=0.35
color tan 1990, cosine similarity=0.20

color zone 1940, cosine similarity=0.07
color zone 1990, cosine similarity=0.09

read book 1940, cosine similarity=0.34
read book 1990, cosine similarity=0.32

read article 1940, cosine similarity=0.17
read article 1990, cosine similarity=0.15

read warts 1940, cosine similarity=0.00
read warts 1990, cosine similarity=-0.05

seasoning salt 1940, cosine similarity=0.00
seasoning salt 1990, cosine similarity=0.36

seasoning herbs 1940, cosine similarity=0.00
seasoning herbs 1990, cosine similarity=0.27

seasoning risk 1940, cosine similarity=0.00
seasoning risk 1990, cosine similarity=-0.06

