weather tornado 1870, cosine similarity=0.14
weather tornado 1990, cosine similarity=0.15

weather sleet 1870, cosine similarity=0.28
weather sleet 1990, cosine similarity=0.18

weather cereal 1870, cosine similarity=0.00
weather cereal 1990, cosine similarity=-0.04

shape circle 1870, cosine similarity=0.08
shape circle 1990, cosine similarity=0.12

shape oval 1870, cosine similarity=0.41
shape oval 1990, cosine similarity=0.31

shape capes 1870, cosine similarity=-0.06
shape capes 1990, cosine similarity=-0.01

meat pork 1870, cosine similarity=0.51
meat pork 1990, cosine similarity=0.57

meat veal 1870, cosine similarity=0.35
meat veal 1990, cosine similarity=0.44

meat pulp 1870, cosine similarity=0.20
meat pulp 1990, cosine similarity=0.23

meat beef 1870, cosine similarity=0.57
meat beef 1990, cosine similarity=0.63

meat duck 1870, cosine similarity=0.15
meat duck 1990, cosine similarity=0.19

meat ring 1870, cosine similarity=-0.03
meat ring 1990, cosine similarity=0.04

instrument drum 1870, cosine similarity=0.19
instrument drum 1990, cosine similarity=0.18

instrument banjo 1870, cosine similarity=0.00
instrument banjo 1990, cosine similarity=0.09

instrument bolt 1870, cosine similarity=0.15
instrument bolt 1990, cosine similarity=0.07

storm thunder 1870, cosine similarity=0.43
storm thunder 1990, cosine similarity=0.38

storm blizzard 1870, cosine similarity=0.00
storm blizzard 1990, cosine similarity=0.24

storm cannons 1870, cosine similarity=0.18
storm cannons 1990, cosine similarity=0.19

crime robbery 1870, cosine similarity=0.47
crime robbery 1990, cosine similarity=0.42

crime arson 1870, cosine similarity=0.40
crime arson 1990, cosine similarity=0.24

crime signal 1870, cosine similarity=0.10
crime signal 1990, cosine similarity=-0.12

clothing pants 1870, cosine similarity=0.13
clothing pants 1990, cosine similarity=0.16

clothing gloves 1870, cosine similarity=0.23
clothing gloves 1990, cosine similarity=0.40

clothing masks 1870, cosine similarity=0.12
clothing masks 1990, cosine similarity=0.23

flower rose 1870, cosine similarity=0.27
flower rose 1990, cosine similarity=0.28

flower lilac 1870, cosine similarity=0.33
flower lilac 1990, cosine similarity=0.33

flower slot 1870, cosine similarity=0.00
flower slot 1990, cosine similarity=0.17

weapon gun 1870, cosine similarity=0.32
weapon gun 1990, cosine similarity=0.44

weapon club 1870, cosine similarity=0.28
weapon club 1990, cosine similarity=0.12

weapon babe 1870, cosine similarity=0.10
weapon babe 1990, cosine similarity=0.05

crime murder 1870, cosine similarity=0.53
crime murder 1990, cosine similarity=0.45

crime speeding 1870, cosine similarity=0.00
crime speeding 1990, cosine similarity=0.09

crime dragons 1870, cosine similarity=-0.01
crime dragons 1990, cosine similarity=0.04

in house 1870, cosine similarity=0.08
in house 1990, cosine similarity=0.03

in cabin 1870, cosine similarity=-0.02
in cabin 1990, cosine similarity=0.04

in jelly 1870, cosine similarity=0.01
in jelly 1990, cosine similarity=0.06

product milk 1870, cosine similarity=0.17
product milk 1990, cosine similarity=0.18

product cream 1870, cosine similarity=0.06
product cream 1990, cosine similarity=0.02

product gold 1870, cosine similarity=0.09
product gold 1990, cosine similarity=0.02

feeling sad 1870, cosine similarity=0.17
feeling sad 1990, cosine similarity=0.27

feeling envy 1870, cosine similarity=0.19
feeling envy 1990, cosine similarity=0.30

feeling well 1870, cosine similarity=0.11
feeling well 1990, cosine similarity=0.18

meat chicken 1870, cosine similarity=0.39
meat chicken 1990, cosine similarity=0.47

meat ham 1870, cosine similarity=0.32
meat ham 1990, cosine similarity=0.28

meat shrub 1870, cosine similarity=0.12
meat shrub 1990, cosine similarity=0.19

color blue 1870, cosine similarity=0.40
color blue 1990, cosine similarity=0.33

color tan 1870, cosine similarity=0.18
color tan 1990, cosine similarity=0.20

color zone 1870, cosine similarity=0.12
color zone 1990, cosine similarity=0.09

read book 1870, cosine similarity=0.36
read book 1990, cosine similarity=0.32

read article 1870, cosine similarity=0.20
read article 1990, cosine similarity=0.15

read warts 1870, cosine similarity=0.00
read warts 1990, cosine similarity=-0.05

seasoning salt 1870, cosine similarity=0.00
seasoning salt 1990, cosine similarity=0.36

seasoning herbs 1870, cosine similarity=0.00
seasoning herbs 1990, cosine similarity=0.27

seasoning risk 1870, cosine similarity=0.00
seasoning risk 1990, cosine similarity=-0.06

furniture table 1870, cosine similarity=0.20
