weather tornado 1930, cosine similarity=0.09
weather tornado 1990, cosine similarity=0.15

weather sleet 1930, cosine similarity=0.14
weather sleet 1990, cosine similarity=0.18

weather cereal 1930, cosine similarity=0.06
weather cereal 1990, cosine similarity=-0.04

shape circle 1930, cosine similarity=0.16
shape circle 1990, cosine similarity=0.12

shape oval 1930, cosine similarity=0.40
shape oval 1990, cosine similarity=0.31

shape capes 1930, cosine similarity=0.05
shape capes 1990, cosine similarity=-0.01

meat pork 1930, cosine similarity=0.56
meat pork 1990, cosine similarity=0.57

meat veal 1930, cosine similarity=0.32
meat veal 1990, cosine similarity=0.44

meat pulp 1930, cosine similarity=0.23
meat pulp 1990, cosine similarity=0.23

meat beef 1930, cosine similarity=0.63
meat beef 1990, cosine similarity=0.63

meat duck 1930, cosine similarity=0.19
meat duck 1990, cosine similarity=0.19

meat ring 1930, cosine similarity=0.00
meat ring 1990, cosine similarity=0.04

instrument drum 1930, cosine similarity=0.18
instrument drum 1990, cosine similarity=0.18

instrument banjo 1930, cosine similarity=0.00
instrument banjo 1990, cosine similarity=0.09

instrument bolt 1930, cosine similarity=0.02
instrument bolt 1990, cosine similarity=0.07

storm thunder 1930, cosine similarity=0.36
storm thunder 1990, cosine similarity=0.38

storm blizzard 1930, cosine similarity=0.26
storm blizzard 1990, cosine similarity=0.24

storm cannons 1930, cosine similarity=0.21
storm cannons 1990, cosine similarity=0.19

crime robbery 1930, cosine similarity=0.49
crime robbery 1990, cosine similarity=0.42

crime arson 1930, cosine similarity=0.39
crime arson 1990, cosine similarity=0.24

crime signal 1930, cosine similarity=-0.02
crime signal 1990, cosine similarity=-0.12

clothing pants 1930, cosine similarity=0.13
clothing pants 1990, cosine similarity=0.16

clothing gloves 1930, cosine similarity=0.27
clothing gloves 1990, cosine similarity=0.40

clothing masks 1930, cosine similarity=0.24
clothing masks 1990, cosine similarity=0.23

flower rose 1930, cosine similarity=0.30
flower rose 1990, cosine similarity=0.28

flower lilac 1930, cosine similarity=0.31
flower lilac 1990, cosine similarity=0.33

flower slot 1930, cosine similarity=0.05
flower slot 1990, cosine similarity=0.17

weapon gun 1930, cosine similarity=0.36
weapon gun 1990, cosine similarity=0.44

weapon club 1930, cosine similarity=0.14
weapon club 1990, cosine similarity=0.12

weapon babe 1930, cosine similarity=0.03
weapon babe 1990, cosine similarity=0.05

crime murder 1930, cosine similarity=0.50
crime murder 1990, cosine similarity=0.45

crime speeding 1930, cosine similarity=0.04
crime speeding 1990, cosine similarity=0.09

crime dragons 1930, cosine similarity=-0.03
crime dragons 1990, cosine similarity=0.04

in house 1930, cosine similarity=0.11
in house 1990, cosine similarity=0.03

in cabin 1930, cosine similarity=0.02
in cabin 1990, cosine similarity=0.04

in jelly 1930, cosine similarity=-0.04
in jelly 1990, cosine similarity=0.06

product milk 1930, cosine similarity=0.21
product milk 1990, cosine similarity=0.18

product cream 1930, cosine similarity=0.18
product cream 1990, cosine similarity=0.02

product gold 1930, cosine similarity=-0.01
product gold 1990, cosine similarity=0.02

feeling sad 1930, cosine similarity=0.19
feeling sad 1990, cosine similarity=0.27

feeling envy 1930, cosine similarity=0.15
feeling envy 1990, cosine similarity=0.30

feeling well 1930, cosine similarity=0.07
feeling well 1990, cosine similarity=0.18

meat chicken 1930, cosine similarity=0.43
meat chicken 1990, cosine similarity=0.47

meat ham 1930, cosine similarity=0.43
meat ham 1990, cosine similarity=0.28

meat shrub 1930, cosine similarity=0.14
meat shrub 1990, cosine similarity=0.19

color blue 1930, cosine similarity=0.38
color blue 1990, cosine similarity=0.33

color tan 1930, cosine similarity=0.22
color tan 1990, cosine similarity=0.20

color zone 1930, cosine similarity=0.07
color zone 1990, cosine similarity=0.09

read book 1930, cosine similarity=0.29
read book 1990, cosine similarity=0.32

read article 1930, cosine similarity=0.12
read article 1990, cosine similarity=0.15

read warts 1930, cosine similarity=0.00
read warts 1990, cosine similarity=-0.05

seasoning salt 1930, cosine similarity=0.26
seasoning salt 1990, cosine similarity=0.36

seasoning herbs 1930, cosine similarity=0.21
seasoning herbs 1990, cosine similarity=0.27

seasoning risk 1930, cosine similarity=-0.09
seasoning risk 1990, cosine similarity=-0.06

furniture table 1930, cosine similarity=0.07
