weather tornado 1960, cosine similarity=0.07
weather tornado 1990, cosine similarity=0.15

weather sleet 1960, cosine similarity=0.21
weather sleet 1990, cosine similarity=0.18

weather cereal 1960, cosine similarity=0.05
weather cereal 1990, cosine similarity=-0.04

shape circle 1960, cosine similarity=0.12
shape circle 1990, cosine similarity=0.12

shape oval 1960, cosine similarity=0.42
shape oval 1990, cosine similarity=0.31

shape capes 1960, cosine similarity=-0.08
shape capes 1990, cosine similarity=-0.01

meat pork 1960, cosine similarity=0.55
meat pork 1990, cosine similarity=0.57

meat veal 1960, cosine similarity=0.33
meat veal 1990, cosine similarity=0.44

meat pulp 1960, cosine similarity=0.26
meat pulp 1990, cosine similarity=0.23

meat beef 1960, cosine similarity=0.60
meat beef 1990, cosine similarity=0.63

meat duck 1960, cosine similarity=0.26
meat duck 1990, cosine similarity=0.19

meat ring 1960, cosine similarity=-0.01
meat ring 1990, cosine similarity=0.04

instrument drum 1960, cosine similarity=0.20
instrument drum 1990, cosine similarity=0.18

instrument banjo 1960, cosine similarity=-0.01
instrument banjo 1990, cosine similarity=0.09

instrument bolt 1960, cosine similarity=0.06
instrument bolt 1990, cosine similarity=0.07

storm thunder 1960, cosine similarity=0.38
storm thunder 1990, cosine similarity=0.38

storm blizzard 1960, cosine similarity=0.27
storm blizzard 1990, cosine similarity=0.24

storm cannons 1960, cosine similarity=0.11
storm cannons 1990, cosine similarity=0.19

crime robbery 1960, cosine similarity=0.55
crime robbery 1990, cosine similarity=0.42

crime arson 1960, cosine similarity=0.38
crime arson 1990, cosine similarity=0.24

crime signal 1960, cosine similarity=0.00
crime signal 1990, cosine similarity=-0.12

clothing pants 1960, cosine similarity=0.21
clothing pants 1990, cosine similarity=0.16

clothing gloves 1960, cosine similarity=0.35
clothing gloves 1990, cosine similarity=0.40

clothing masks 1960, cosine similarity=0.25
clothing masks 1990, cosine similarity=0.23

flower rose 1960, cosine similarity=0.22
flower rose 1990, cosine similarity=0.28

flower lilac 1960, cosine similarity=0.28
flower lilac 1990, cosine similarity=0.33

flower slot 1960, cosine similarity=0.11
flower slot 1990, cosine similarity=0.17

weapon gun 1960, cosine similarity=0.39
weapon gun 1990, cosine similarity=0.44

weapon club 1960, cosine similarity=0.15
weapon club 1990, cosine similarity=0.12

weapon babe 1960, cosine similarity=0.13
weapon babe 1990, cosine similarity=0.05

crime murder 1960, cosine similarity=0.49
crime murder 1990, cosine similarity=0.45

crime speeding 1960, cosine similarity=-0.02
crime speeding 1990, cosine similarity=0.09

crime dragons 1960, cosine similarity=-0.04
crime dragons 1990, cosine similarity=0.04

in house 1960, cosine similarity=0.08
in house 1990, cosine similarity=0.03

in cabin 1960, cosine similarity=0.10
in cabin 1990, cosine similarity=0.04

in jelly 1960, cosine similarity=-0.03
in jelly 1990, cosine similarity=0.06

product milk 1960, cosine similarity=0.14
product milk 1990, cosine similarity=0.18

product cream 1960, cosine similarity=0.13
product cream 1990, cosine similarity=0.02

product gold 1960, cosine similarity=0.03
product gold 1990, cosine similarity=0.02

feeling sad 1960, cosine similarity=0.17
feeling sad 1990, cosine similarity=0.27

feeling envy 1960, cosine similarity=0.31
feeling envy 1990, cosine similarity=0.30

feeling well 1960, cosine similarity=0.15
feeling well 1990, cosine similarity=0.18

meat chicken 1960, cosine similarity=0.47
meat chicken 1990, cosine similarity=0.47

meat ham 1960, cosine similarity=0.33
meat ham 1990, cosine similarity=0.28

meat shrub 1960, cosine similarity=0.16
meat shrub 1990, cosine similarity=0.19

color blue 1960, cosine similarity=0.38
color blue 1990, cosine similarity=0.33

color tan 1960, cosine similarity=0.21
color tan 1990, cosine similarity=0.20

color zone 1960, cosine similarity=0.04
color zone 1990, cosine similarity=0.09

read book 1960, cosine similarity=0.32
read book 1990, cosine similarity=0.32

read article 1960, cosine similarity=0.20
read article 1990, cosine similarity=0.15

read warts 1960, cosine similarity=-0.19
read warts 1990, cosine similarity=-0.05

seasoning salt 1960, cosine similarity=0.30
seasoning salt 1990, cosine similarity=0.36

seasoning herbs 1960, cosine similarity=0.23
seasoning herbs 1990, cosine similarity=0.27

seasoning risk 1960, cosine similarity=-0.08
seasoning risk 1990, cosine similarity=-0.06

