weather tornado 1910, cosine similarity=0.08
weather tornado 1990, cosine similarity=0.15

weather sleet 1910, cosine similarity=0.23
weather sleet 1990, cosine similarity=0.18

weather cereal 1910, cosine similarity=0.10
weather cereal 1990, cosine similarity=-0.04

shape circle 1910, cosine similarity=0.11
shape circle 1990, cosine similarity=0.12

shape oval 1910, cosine similarity=0.40
shape oval 1990, cosine similarity=0.31

shape capes 1910, cosine similarity=0.04
shape capes 1990, cosine similarity=-0.01

meat pork 1910, cosine similarity=0.63
meat pork 1990, cosine similarity=0.57

meat veal 1910, cosine similarity=0.34
meat veal 1990, cosine similarity=0.44

meat pulp 1910, cosine similarity=0.24
meat pulp 1990, cosine similarity=0.23

meat beef 1910, cosine similarity=0.61
meat beef 1990, cosine similarity=0.63

meat duck 1910, cosine similarity=0.18
meat duck 1990, cosine similarity=0.19

meat ring 1910, cosine similarity=0.06
meat ring 1990, cosine similarity=0.04

instrument drum 1910, cosine similarity=0.24
instrument drum 1990, cosine similarity=0.18

instrument banjo 1910, cosine similarity=0.18
instrument banjo 1990, cosine similarity=0.09

instrument bolt 1910, cosine similarity=0.10
instrument bolt 1990, cosine similarity=0.07

storm thunder 1910, cosine similarity=0.45
storm thunder 1990, cosine similarity=0.38

storm blizzard 1910, cosine similarity=0.21
storm blizzard 1990, cosine similarity=0.24

storm cannons 1910, cosine similarity=0.20
storm cannons 1990, cosine similarity=0.19

crime robbery 1910, cosine similarity=0.40
crime robbery 1990, cosine similarity=0.42

crime arson 1910, cosine similarity=0.40
crime arson 1990, cosine similarity=0.24

crime signal 1910, cosine similarity=0.00
crime signal 1990, cosine similarity=-0.12

clothing pants 1910, cosine similarity=0.21
clothing pants 1990, cosine similarity=0.16

clothing gloves 1910, cosine similarity=0.31
clothing gloves 1990, cosine similarity=0.40

clothing masks 1910, cosine similarity=0.14
clothing masks 1990, cosine similarity=0.23

flower rose 1910, cosine similarity=0.26
flower rose 1990, cosine similarity=0.28

flower lilac 1910, cosine similarity=0.28
flower lilac 1990, cosine similarity=0.33

flower slot 1910, cosine similarity=-0.00
flower slot 1990, cosine similarity=0.17

weapon gun 1910, cosine similarity=0.38
weapon gun 1990, cosine similarity=0.44

weapon club 1910, cosine similarity=0.19
weapon club 1990, cosine similarity=0.12

weapon babe 1910, cosine similarity=0.09
weapon babe 1990, cosine similarity=0.05

crime murder 1910, cosine similarity=0.56
crime murder 1990, cosine similarity=0.45

crime speeding 1910, cosine similarity=-0.03
crime speeding 1990, cosine similarity=0.09

crime dragons 1910, cosine similarity=-0.04
crime dragons 1990, cosine similarity=0.04

in house 1910, cosine similarity=0.00
in house 1990, cosine similarity=0.03

in cabin 1910, cosine similarity=0.05
in cabin 1990, cosine similarity=0.04

in jelly 1910, cosine similarity=0.10
in jelly 1990, cosine similarity=0.06

product milk 1910, cosine similarity=0.23
product milk 1990, cosine similarity=0.18

product cream 1910, cosine similarity=0.22
product cream 1990, cosine similarity=0.02

product gold 1910, cosine similarity=0.00
product gold 1990, cosine similarity=0.02

feeling sad 1910, cosine similarity=0.18
feeling sad 1990, cosine similarity=0.27

feeling envy 1910, cosine similarity=0.17
feeling envy 1990, cosine similarity=0.30

feeling well 1910, cosine similarity=0.15
feeling well 1990, cosine similarity=0.18

meat chicken 1910, cosine similarity=0.38
meat chicken 1990, cosine similarity=0.47

meat ham 1910, cosine similarity=0.30
meat ham 1990, cosine similarity=0.28

meat shrub 1910, cosine similarity=0.10
meat shrub 1990, cosine similarity=0.19

color blue 1910, cosine similarity=0.43
color blue 1990, cosine similarity=0.33

color tan 1910, cosine similarity=0.28
color tan 1990, cosine similarity=0.20

color zone 1910, cosine similarity=0.10
color zone 1990, cosine similarity=0.09

read book 1910, cosine similarity=0.36
read book 1990, cosine similarity=0.32

read article 1910, cosine similarity=0.25
read article 1990, cosine similarity=0.15

read warts 1910, cosine similarity=-0.16
read warts 1990, cosine similarity=-0.05

seasoning salt 1910, cosine similarity=0.26
seasoning salt 1990, cosine similarity=0.36

seasoning herbs 1910, cosine similarity=0.25
seasoning herbs 1990, cosine similarity=0.27

seasoning risk 1910, cosine similarity=-0.05
seasoning risk 1990, cosine similarity=-0.06

furniture table 1910, cosine similarity=0.18
